"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","acafly","Acadian Flycatcher","Empidonax virescens","2012-2022","breeding",4.19,-0.563,13.1,0.763,-2.99,4.45,"Forests:  Temperate Eastern",NA
"Alabama","ambduc","American Black Duck","Anas rubripes","2012-2022","nonbreeding",-46.6,-51.2,-36.8,-29.7,-33,-25.4,"Wetlands:  Boreal","Coasts:  Saltmarsh"
"Alabama","ameavo","American Avocet","Recurvirostra americana","2012-2022","breeding",-5.7,-23,50.1,-2.16,-7.79,3.51,"Wetlands:  Freshwater Marsh",NA
"Alabama","amecro","American Crow","Corvus brachyrhynchos","2012-2022","breeding",-17,-21.2,-13.6,-10.1,-11.8,-8.42,"Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Alabama","amegfi","American Goldfinch","Spinus tristis","2012-2022","breeding",-17.2,-21.1,-13.3,-12.1,-14.1,-10.5,"Open Country:  Habitat Mosaic",NA
"Alabama","amekes","American Kestrel","Falco sparverius","2012-2022","breeding",-12.2,-18.3,-7.15,-20.3,-25,-14.5,"Open Country:  Habitat Mosaic",NA
"Alabama","ameoys","American Oystercatcher","Haematopus palliatus","2012-2022","breeding",-20.1,-29.4,-12.9,2.54,-3.23,8.02,"Coasts:  Beach and Estuary",NA
"Alabama","amepip","American Pipit","Anthus rubescens","2012-2022","nonbreeding",-46.7,-51.5,-41.4,-19.2,-21.8,-16.1,"Tundra:  Alpine","Tundra:  Arctic"
"Alabama","amered","American Redstart","Setophaga ruticilla","2012-2022","breeding",-4.04,-9.81,4.68,6.15,3.89,8.6,"Forests:  Temperate Generalist",NA
"Alabama","amerob","American Robin","Turdus migratorius","2012-2022","breeding",-13.4,-19.1,-7.13,-4.16,-6.56,-1.83,"Forests:  Temperate Generalist",NA
