,0,1
0,Abyssinian Thrush,[]
1,Acadian Flycatcher,"[{'images': ['https://images.unsplash.com/photo-1662406079609-c88e34e84409', 'https://images.unsplash.com/photo-1662406075559-3842f6529745'], 'lengthMin': '14', 'lengthMax': '15', 'name': 'Acadian Flycatcher', 'wingspanMin': '22', 'id': 354, 'wingspanMax': '23', 'sciName': 'Empidonax virescens', 'region': ['North America'], 'family': 'Tyrannidae', 'order': 'Passeriformes', 'status': 'Low Concern'}]"
2,Acorn Woodpecker,"[{'images': ['https://images.unsplash.com/photo-1584406696317-303c653823d9', 'https://images.unsplash.com/photo-1662428394167-2261daf4287f', 'https://images.unsplash.com/photo-1662428395401-f5cdaa848a97'], 'lengthMin': '19', 'lengthMax': '23', 'name': 'Acorn Woodpecker', 'wingspanMin': '35', 'id': 322, 'wingspanMax': '43', 'sciName': 'Melanerpes formicivorus', 'region': ['North America'], 'family': 'Picidae', 'order': 'Piciformes', 'status': 'Low Concern'}]"
3,African Bare-eyed Thrush,[]
4,African Black-headed Oriole,[]
5,African Blue Flycatcher,[]
6,African Darter,[]
7,African Dusky Flycatcher,[]
8,African Emerald Cuckoo,[]
9,African Fish-Eagle,[]
10,African Goshawk,[]
11,African Gray Flycatcher,[]
12,African Gray Hornbill,[]
13,African Green-Pigeon,[]
14,African Jacana,[]
15,African Paradise-Flycatcher,[]
16,African Pied Wagtail,[]
17,African Pygmy Kingfisher,[]
18,African Sacred Ibis,[]
19,African Silverbill,[]
20,African Thrush,[]
21,Akekee,[]
22,Akiapolaau,[]
23,Akikiki,[]
24,Akohekohe,[]
25,Alder Flycatcher,[]
26,American Avocet,"[{'images': ['https://images.unsplash.com/photo-1634506264292-956289c9d06f', 'https://images.unsplash.com/photo-1622910012539-cc4d83f61c1b', 'https://images.unsplash.com/photo-1634506265069-e12aad7a7e63'], 'lengthMin': '43', 'lengthMax': '47', 'name': 'American Avocet', 'id': 132, 'family': 'Recurvirostridae', 'region': ['North America'], 'sciName': 'Recurvirostra americana', 'order': 'Charadriiformes', 'status': 'Low Concern'}]"
27,American Bittern,[]
28,American Bushtit,[]
29,American Cliff Swallow,[]
30,American Coot,"[{'images': ['https://storage.googleapis.com/nuthatch-images/AmericanCoot.jpg'], 'lengthMin': '39.4', 'lengthMax': '42.9', 'name': 'American Coot', 'wingspanMin': '58.4', 'id': 123, 'wingspanMax': '63.5', 'family': 'Rallidae', 'region': ['North America'], 'sciName': 'Fulica americana', 'order': 'Gruiformes', 'status': 'Low Concern'}]"
31,American Crow,"[{'images': ['https://images.unsplash.com/photo-1643204762782-3d7cbf77aa13', 'https://images.unsplash.com/photo-1660283030748-928dc698ef2c', 'https://images.unsplash.com/photo-1653013391796-1d75de31ef7a'], 'lengthMin': '40', 'lengthMax': '53', 'name': 'American Crow', 'wingspanMin': '85', 'id': 407, 'wingspanMax': '100', 'sciName': 'Corvus brachyrhynchos', 'region': ['North America'], 'family': 'Corvidae', 'order': 'Passeriformes', 'status': 'Low Concern'}]"
32,American Dusky Flycatcher,[]
33,American Goldfinch,"[{'images': ['https://images.unsplash.com/photo-1534265534853-9d33c0c00331', 'https://images.unsplash.com/photo-1662405979632-2b1ccdabdcc6'], 'lengthMin': '11', 'lengthMax': '13', 'name': 'American Goldfinch', 'wingspanMin': '19', 'id': 503, 'wingspanMax': '22', 'sciName': 'Spinus tristis', 'region': ['North America'], 'family': 'Fringillidae', 'order': 'Passeriformes', 'status': 'Low Concern'}]"
34,American Grey Flycatcher,[]
